support_modality,exposure_group,n,denominator,pct
no_support,ACS,83,126,0.6587301587301587
no_support,No ACS,663,886,0.7483069977426636
hood_oxygen_only,ACS,14,126,0.1111111111111111
hood_oxygen_only,No ACS,34,886,0.03837471783295711
cpap,ACS,21,126,0.16666666666666666
cpap,No ACS,162,886,0.18284424379232506
positive_pressure_ventilation,ACS,6,126,0.047619047619047616
positive_pressure_ventilation,No ACS,22,886,0.024830699774266364
intubation,ACS,2,126,0.015873015873015872
intubation,No ACS,5,886,0.0056433408577878106
other,ACS,0,126,0
other,No ACS,0,886,0
