outcome,outcome_label,estimate_type,estimate,lcl,ucl,p.value,display
oxygen_any,Primary: any initial respiratory support at birth,IPTW odds ratio,1.4043521228675713,0.904737946713085,2.1798631218770903,0.13040533817198222,"1.40 (0.90–2.18), P=0.130"
nicu_admit,NICU admission,IPTW odds ratio,1.100796735103774,0.6926091439796975,1.7495487354562682,0.6846420674789662,"1.10 (0.69–1.75), P=0.685"
hypoglycemia,Neonatal hypoglycemia,IPTW odds ratio,2.139367635520168,0.6286463166253823,7.280554675767836,0.22384372912415756,"2.14 (0.63–7.28), P=0.224"
sepsis_any,Neonatal sepsis,IPTW odds ratio,1.3396490606601537,0.4689352278429499,3.8270948718927933,0.5851971283190307,"1.34 (0.47–3.83), P=0.585"
resp_any,Pulmonary morbidity (diagnosis-based),IPTW odds ratio,0.866688075180779,0.4823610655508758,1.5572322753759609,0.632355644706385,"0.87 (0.48–1.56), P=0.632"
preterm_comp_any,Preterm complication composite,IPTW odds ratio,2.4367496875067625,0.793355841690059,7.48434526796364,0.12009757369387919,"2.44 (0.79–7.48), P=0.120"
death,Neonatal death,IPTW odds ratio,1.4558254524671632,0.18231370610064584,11.625169568332922,0.7231773123021252,"1.46 (0.18–11.63), P=0.723"
inv_mv_any,Any invasive mechanical ventilation days >0,IPTW odds ratio,2.0395755464376926,0.7960373931130362,5.225719853886206,0.13790927183870078,"2.04 (0.80–5.23), P=0.138"
nasal_mv_any,Any nasal/non-invasive mechanical ventilation days >0,IPTW odds ratio,0.9925026042408785,0.525214742037069,1.8755403087208118,0.9815137924133972,"0.99 (0.53–1.88), P=0.982"
o2_any,Any oxygen days >0,IPTW odds ratio,1.0373988562219096,0.6014497842708109,1.7893370569503013,0.8949999758989042,"1.04 (0.60–1.79), P=0.895"
high_intensity_initial_support,Higher-intensity initial support,IPTW odds ratio,0.9621235620428423,0.589153074807462,1.5712075319992587,0.87739952294196,"0.96 (0.59–1.57), P=0.877"
hospital_course_respiratory_support,Hospital-course respiratory support,IPTW odds ratio,1.0215125610267781,0.5924197095666395,1.7613997230085547,0.9389803734260603,"1.02 (0.59–1.76), P=0.939"
nicu_days,"NICU length of stay, days",IPTW mean difference,0.8280576376704356,-0.49000185943387664,2.146117134774748,0.21847850882311806,"0.83 (-0.49–2.15), P=0.218"
o2_days_total,Oxygen days total,IPTW mean difference,0.9504623434370663,-0.09218097711003681,1.9931056639841693,0.07428344684801813,"0.95 (-0.09–1.99), P=0.074"
invasive_mechanic_ventilation_days,Invasive MV days,IPTW mean difference,0.3678388311552152,-0.21086063500326357,0.946538297313694,0.21311385252720894,"0.37 (-0.21–0.95), P=0.213"
nasal_mv_days,Nasal/non-invasive MV days,IPTW mean difference,0.20506718919638106,-0.12308096314696337,0.5332153415397255,0.22091798460636783,"0.21 (-0.12–0.53), P=0.221"
apgar_1_min,Apgar score at 1 minute,IPTW mean difference,-0.08527082079093806,-0.4558597915785798,0.2853181499967037,0.652095722770897,"-0.09 (-0.46–0.29), P=0.652"
apgar_5_min,Apgar score at 5 minutes,IPTW mean difference,0.034206444773297484,-0.23938944432451448,0.30780233387110945,0.8064676112472012,"0.03 (-0.24–0.31), P=0.806"
