model,outcome,effect,estimate,lcl,ucl,p.value
crude,nicu_days,MD,1.284460209968102,-0.28524801073548356,2.8541684306716872,0.10875196871731523
adjusted,nicu_days,MD,0.6210168645035037,-0.7621367431819583,2.0041704721889655,0.37885230681831084
iptw,nicu_days,MD,0.7914584988743428,-0.5126159424712359,2.0955329402199214,0.23450380259041154
doubly_robust,nicu_days,MD,0.6850755910505034,-0.6183142671708531,1.9884654492718599,0.30317126057721105
crude,invasive_mechanic_ventilation_days,MD,0.3995485327313779,-0.15264447068694498,0.9517415361497008,0.1561350212445146
adjusted,invasive_mechanic_ventilation_days,MD,0.3664779159028608,-0.18268858921943082,0.9156444210251524,0.1908813839832911
iptw,invasive_mechanic_ventilation_days,MD,0.357119003531274,-0.2106108462052334,0.9248488532677814,0.21790054048026702
doubly_robust,invasive_mechanic_ventilation_days,MD,0.3556300242479679,-0.21495283003004678,0.9262128785259827,0.22214492587990778
crude,nasal_mv_days,MD,0.20534594575226514,-0.1735490186337573,0.5842409101382876,0.2881259464892129
adjusted,nasal_mv_days,MD,0.12585181590481748,-0.17768513917785178,0.42938877098748673,0.4164182785078098
iptw,nasal_mv_days,MD,0.1941689037566788,-0.12403115308242649,0.5123689605957841,0.23197262222951476
doubly_robust,nasal_mv_days,MD,0.17934660615526812,-0.12817756004104955,0.4868707723515858,0.2532912264273184
crude,o2_days_total,MD,0.9818517324160616,-0.24172466154610328,2.2054281263782265,0.11576732340580773
adjusted,o2_days_total,MD,0.7327782800448323,-0.27119716601978283,1.7367537261094474,0.15255683969965256
iptw,o2_days_total,MD,0.9229241271549995,-0.10408558981564364,1.9499338441256426,0.07848045127433041
doubly_robust,o2_days_total,MD,0.8963703922718524,-0.08810350898324593,1.880844293526951,0.07463587146247787
crude,apgar_1_min,MD,-0.22374502848543606,-0.5470052702424809,0.09951521327160875,0.17490301946811151
adjusted,apgar_1_min,MD,-0.09176553701559481,-0.41302217505131145,0.22949110102012182,0.5755713008081866
iptw,apgar_1_min,MD,-0.07866808387421681,-0.45130013519658974,0.2939639674481561,0.6791196319138582
doubly_robust,apgar_1_min,MD,-0.06471316775455502,-0.4185591195718217,0.2891327840627117,0.7200799706523642
crude,apgar_5_min,MD,-0.015980508079839226,-0.24641400976292036,0.2144529936032419,0.891880152789869
adjusted,apgar_5_min,MD,0.08874928610174458,-0.14858968594937427,0.3260882581528634,0.463612052042909
iptw,apgar_5_min,MD,0.04162493248289826,-0.23036596501770182,0.31361582998349835,0.7642736562879934
doubly_robust,apgar_5_min,MD,0.04538043602102376,-0.20971693027162291,0.30047780231367044,0.727409290146636
